,year,dis,ring_area,water_area,urban_area,dens
100,2010,24000,145890557.67619154,27532272.473728314,19157339.403849766,0.16185887934316803
101,2010,25000,152098640.0507486,26084771.78760627,17790905.129680082,0.14118212046732104
102,2010,26000,158306719.11792898,28881043.38371128,15466199.25409941,0.11949869426109891
103,2010,27000,164514794.74180105,27463522.65357069,16734805.26904345,0.12210616518955021
104,2010,28000,170722866.7881241,30808067.526936598,13809201.432983397,0.09869721792049256
105,2015,1000,3104060.6292272145,169993.01457854628,2393002.014916275,0.815591979874267
106,2015,2000,9312181.820186334,542864.6437485641,7871495.180561142,0.8976177987621453
107,2015,3000,15520302.80859953,3226157.2510725437,10660425.470023358,0.8671139787747675
108,2015,4000,21728423.459530592,5129209.798382451,14694126.791754264,0.8852302941402042
109,2015,5000,27936543.637851108,3897871.5967495805,21961037.66114574,0.9135711666433391
110,2015,6000,34144663.20869806,6039401.756527173,24568968.843861308,0.8741768471242445
111,2015,7000,40352782.03686261,7425272.51619538,26573691.474494487,0.8070361792110419
112,2015,8000,46560899.98756978,6153080.372768502,32220517.991445262,0.7973832366753827
113,2015,9000,52769016.92554446,7148570.510246008,32962816.069102548,0.7225447942580573
114,2015,10000,58977132.71607283,9307954.790581672,30500347.66249355,0.6140699108861272
115,2015,11000,65185247.22380533,13643400.756432388,31527376.133217487,0.6116850344733957
116,2015,12000,71393360.31407182,22674487.68185841,26904759.666161153,0.5522451200640356
117,2015,13000,77601471.85150968,24648869.59349558,25994915.460158385,0.4909091215856949
118,2015,14000,83809581.70149468,18182676.910041377,34020790.88638438,0.5183970049249521
119,2015,15000,90017689.72862314,18755456.08702537,35706948.753556065,0.5010641251176404
120,2015,16000,96225795.79820132,22240503.57363284,35141205.87546314,0.4749755636403868
121,2015,17000,102433899.77492987,26400691.734848425,36789365.64899951,0.4838591793944264
122,2015,18000,108642001.52416307,28756817.676653665,35105845.92941297,0.43945377901896726
123,2015,19000,114850100.91037825,24785500.566909626,37844686.68069757,0.4201949105017265
124,2015,20000,121058197.79923145,26736208.610358745,36244993.6623576,0.38426875826144546
125,2015,21000,127266292.05493447,31601648.703174077,33281313.99499032,0.3478956574647376
126,2015,22000,133474383.5432525,30491175.424889654,35917532.786649115,0.3487707699430728
127,2015,23000,139682472.12843448,26893646.61043845,37518201.449528486,0.33264112182409655
128,2015,24000,145890557.67619154,25148287.83846508,40263983.30283565,0.3334704851660408
129,2015,25000,152098640.0507486,22883637.352240816,37951188.726680994,0.29370574572699576
130,2015,26000,158306719.11792898,23822204.37783707,36482513.42073472,0.2712766855815461
131,2015,27000,164514794.74180105,23348274.254390705,37251876.28667542,0.26388605568837875
132,2015,28000,170722866.7881241,28484165.90983479,32457141.88224403,0.22818783974986476
133,2015,29000,176930935.12177682,29033901.876739614,26653596.560656503,0.18021724963540392
134,2015,30000,183138999.6071207,28062523.031219374,27708489.176308546,0.17867628790719126
135,2018,1000,3104060.6292272145,425606.1347874061,2403389.74804903,0.8973046781411503
136,2018,2000,9312181.820186334,849556.3479640583,7905689.398381254,0.9341887366197276
137,2018,3000,15520302.80859953,3406831.8333055684,10772641.037547389,0.8893108391078608
138,2018,4000,21728423.459530592,5244344.388232663,14925687.314426072,0.9054607934036589
139,2018,5000,27936543.637851108,3842692.500193877,22210714.10616671,0.9218415926648067
140,2018,6000,34144663.20869806,6221974.351032096,24956745.139168546,0.893780153708831
141,2018,7000,40352782.03686261,7784663.243620032,27350929.53824535,0.8398068587222262
142,2018,8000,46560899.98756978,6499082.548809449,33123174.76619848,0.8268016002227441
143,2018,9000,52769016.92554446,8542399.719306493,34252464.82737699,0.7744762541446609
144,2018,10000,58977132.71607283,10007696.65996835,32588118.94702077,0.6654787469817792
145,2018,11000,65185247.22380533,13948999.627446204,34557484.52146139,0.6744733688092541
146,2018,12000,71393360.31407182,23038772.627772886,29154902.88880807,0.6029397474744467
147,2018,13000,77601471.85150968,26231764.23207914,28509292.283907287,0.5549825686203376
148,2018,14000,83809581.70149468,18699642.961433932,37194910.867598,0.5712631832766994
149,2018,15000,90017689.72862314,18785150.11315417,39075654.30088271,0.5485646659774149
150,2018,16000,96225795.79820132,22480741.319670565,39578133.93081842,0.53668865269251
151,2018,17000,102433899.77492987,27944643.699827876,41437209.93067149,0.5562843840042304
152,2018,18000,108642001.52416307,30469028.6397779,39604119.27082496,0.5066216341726947
153,2018,19000,114850100.91037825,25379763.33813311,42842642.90171066,0.47884744893374587
154,2018,20000,121058197.79923145,28129258.81481406,41342386.58734037,0.44488172402649284
155,2018,21000,127266292.05493447,33417225.155037202,39559734.92304039,0.42152507456718985
156,2018,22000,133474383.5432525,31561885.1067251,42656169.7170336,0.41855680482213364
157,2018,23000,139682472.12843448,28045923.40800351,45401102.658977434,0.4066867274146431
158,2018,24000,145890557.67619154,26251149.95048756,48029061.508606,0.40144850615377276
159,2018,25000,152098640.0507486,23112019.162555765,46265106.34308912,0.3586814355202954
160,2018,26000,158306719.11792898,23824517.59142277,44891425.14626367,0.33380941594279034
161,2018,27000,164514794.74180105,24438025.10953825,44321630.65674834,0.31640957150214066
162,2018,28000,170722866.7881241,29675186.493097033,38924561.46015743,0.2759673989585619
163,2018,29000,176930935.12177682,30819698.716847137,32836738.225900933,0.22473793962633967
164,2018,30000,183138999.6071207,30516139.2618066,33945939.16637728,0.22241713390493084
